id	placeName	QID	dvp_id	coordinate location
dvp_032_place_38	Rauner Special Collections Library	Q98544730		43.70447,-72.28817
dvp_032_place_39	Rauner Special Collections Library	Q98544730		43.70447,-72.28817
dvp_032_place_40	105 Dartmouth Hall	Q105087581		43.7037509,-72.2892848
dvp_032_place_41	Exeter	Q990504		42.981388888889,-70.947777777778
dvp_032_place_42	Exeter	Q990504		42.981388888889,-70.947777777778
dvp_032_place_43	Nigeria	Q1033		9,8
dvp_032_place_44	New Hampshire	Q759		44,-71.5
dvp_032_place_45	Vietnam	Q881		16,108
dvp_032_place_46	Hanover	Q131908		43.7,-72.28333333333333
dvp_032_place_47	Spain	Q29		40.2,-3.5
dvp_032_place_48	France	Q142		47,2
dvp_032_place_49	Germany	Q183		51,10
dvp_032_place_50	Paris	Q90		48.856944444444,2.3513888888889
dvp_032_place_51	Paris	Q90		48.856944444444,2.3513888888889
dvp_032_place_52	Madrid	Q2807		40.418888888889,-3.6919444444444
dvp_032_place_53	University of Salamanca	Q308963		40.9616,-5.6676
dvp_032_place_54	Spain	Q29		40.2,-3.5
dvp_032_place_55	Spain	Q29		40.2,-3.5
dvp_032_place_56	Spain	Q29		40.2,-3.5
dvp_032_place_57	Saigon	Q105076255		10.816667,106.633333
dvp_032_place_58	Saigon	Q105076255		10.816667,106.633333
dvp_032_place_59	Spain	Q29		40.2,-3.5
dvp_032_place_60	Spain	Q29		40.2,-3.5
dvp_032_place_61	Spain	Q29		40.2,-3.5
dvp_032_place_62	Spain	Q29		40.2,-3.5
dvp_032_place_63	France	Q142		47,2
dvp_032_place_64	Spain	Q29		40.2,-3.5
dvp_032_place_65	Barcelona	Q1492		41.3825,2.1769444444444
dvp_032_place_66	Spain	Q29		40.2,-3.5
dvp_032_place_67	Spain	Q29		40.2,-3.5
dvp_032_place_68	Spain	Q29		40.2,-3.5
dvp_032_place_69	Spain	Q29		40.2,-3.5
dvp_032_place_70	Hanover	Q131908		43.7,-72.28333333333333
dvp_032_place_71	Spain	Q29		40.2,-3.5
dvp_032_place_72	Fort Devens	Q1413867		42.545022222222,-71.613336111111
dvp_032_place_73	Norwich	Q1510465		43.730277777778,-72.303055555556
dvp_032_place_74	Fort Benning	Q1438462		32.366111111111,-84.969166666667
dvp_032_place_75	Fort Benning	Q1438462		32.366111111111,-84.969166666667
dvp_032_place_76	South Carolina	Q1456		34,-81
dvp_032_place_77	California	Q99		37,-120
dvp_032_place_78	Vietnam	Q881		16,108
dvp_032_place_79	Fort Benning	Q1438462		32.366111111111,-84.969166666667
